,cid,latitude,longitude,shortname,sid,year
0,DE37,28.73011111111111,99.84583333333333,Pedicularis-axillaris,10.0,2018
1,DE39,29.141111111111112,99.92833333333334,Pedicularis-axillaris,11.0,2018
2,DE430,28.74638888888889,100.26916666666666,Pedicularis-axillaris,86.0,2018
3,DE454,29.04136111111111,99.70455555555556,Pedicularis-axillaris,94.0,2018
4,DE457,29.073833333333333,99.67630555555556,Pedicularis-axillaris,95.0,2018
0,28246,28.74638888888889,100.26916666666666,Pedicularis-axillaris,1137,1998
1,28362,29.141111111111112,99.92833333333334,Pedicularis-axillaris,1253,1998
2,28744,29.103055555555557,99.63194444444444,Pedicularis-axillaris,1638,1998
