,cid,latitude,longitude,shortname,sid,year
0,DE53,29.14472222222222,100.03477777777778,Pedicularis-rhynchodonta,14.0,2018
1,DE62,29.33486111111111,100.09941666666666,Pedicularis-rhynchodonta,16.0,2018
2,DE86,30.168916666666668,100.58433333333333,Pedicularis-rhynchodonta,21.0,2018
3,DE515,29.903527777777775,101.99961111111111,Pedicularis-rhynchodonta,108.0,2019
4,DE543,30.074555555555555,101.80416666666666,Pedicularis-rhynchodonta,115.0,2019
0,28070,29.385833333333334,100.14944444444446,Pedicularis-rhynchodonta,959,1998
