,cid,latitude,longitude,shortname,sid,year
0,DE48,29.14472222222222,100.03477777777778,Pedicularis-przewalskii,14.0,2018
1,DE63,29.33486111111111,100.09941666666666,Pedicularis-przewalskii,16.0,2018
2,DE69,29.385833333333334,100.14944444444446,Pedicularis-przewalskii,17.0,2018
3,DE286,32.05236111111111,99.01147222222222,Pedicularis-przewalskii,61.0,2018
4,DE407,30.223249999999997,100.26427777777778,Pedicularis-przewalskii,82.0,2018
0,28058,29.385833333333334,100.14944444444446,Pedicularis-przewalskii,947,1998
