,cid,latitude,longitude,shortname,sid,year
0,DE571,31.83186111111111,100.73927777777777,Pedicularis-lyrata,49.0,2019
1,DE598,31.72472222222222,100.74266666666666,Pedicularis-lyrata,121.0,2019
2,DE678,32.535555555555554,102.3325,Pedicularis-lyrata,136.0,2019
3,DE700,33.31375,101.28361111111111,Pedicularis-lyrata,139.0,2019
4,DE707,33.54694444444444,101.53597222222223,Pedicularis-lyrata,140.0,2019
5,DE715,33.93944444444444,102.03019444444445,Pedicularis-lyrata,141.0,2019
0,27561,30.01527777777778,101.85944444444443,Pedicularis-lyrata,446,1997
1,27706,30.85027777777778,101.27666666666667,Pedicularis-lyrata,592,1997
2,27835,31.724999999999998,100.74444444444444,Pedicularis-lyrata,721,1997
