,cid,latitude,longitude,shortname,sid,year
0,DE92,30.028138888888886,100.80138888888888,Pedicularis-tatsienensis,23.0,2018
1,DE258,31.62611111111111,100.22330555555556,Pedicularis-tatsienensis,56.0,2018
2,DE597,31.72472222222222,100.74266666666666,Pedicularis-tatsienensis,121.0,2019
3,DE614,32.13869444444445,101.03999999999999,Pedicularis-tatsienensis,126.0,2019
0,27831,31.724999999999998,100.74444444444444,Pedicularis-tatsienensis,717,1997
1,28186,29.133888888888887,100.0425,Pedicularis-tatsienensis,1077,1998
