,cid,latitude,longitude,shortname,sid,year
0,DE24,28.58586111111111,99.83722222222222,Pedicularis-rupicola,6.0,2018
1,DE90,30.168916666666668,100.58433333333333,Pedicularis-rupicola subsp. zambalensis,21.0,2018
2,DE441,29.122583333333335,99.9975,Pedicularis-rupicola,88.0,2018
3,DE645,32.337500000000006,101.42083333333333,Pedicularis-rupicola var. rupicola,131.0,2019
2,28998,29.001944444444444,99.74277777777777,Pedicularis-rupicola,1893,1998
0,28190,29.133888888888887,100.0425,Pedicularis-rupicola-subsp.-rupicola,1081,1998
1,28484,29.12388888888889,99.99666666666667,Pedicularis-rupicola-subsp.-zambalensis,1375,1998
