,cid,latitude,longitude,shortname,sid,year
0,DE428,28.60027777777778,100.28666666666666,Pedicularis-thamnophila,85.0,2018
1,DE446,28.974138888888888,99.75808333333333,Pedicularis-thamnophila,91.0,2018
2,DE455,29.04136111111111,99.70455555555556,Pedicularis-thamnophila,94.0,2018
3,DE477,28.116944444444446,101.17425,Pedicularis-thamnophila,98.0,2019
4,DE478,28.12911111111111,101.16125000000001,Pedicularis-thamnophila,99.0,2019
0,28967,29.044722222222223,99.71138888888889,Pedicularis-thamnophila,1862,1998
